date,eur_usd,inventory,production,rigs,inflation,wti_6m_rolling,wti_12m_rolling,wti_6m_lag,wti
2020-02-01,1.0910736842105262,442328.236453202,12844.0,790.0,2.3,55.96458725700945,57.11201181189139,54.80590909090909,50.54263157894737
2020-03-01,1.104590909090909,457694.4700460829,12796.0,771.0,1.5,51.35627196119416,54.700036703666285,56.857619047619046,29.20772727272728
2020-04-01,1.0871090909090908,511520.05238095234,11911.0,565.0,0.3,45.12036788942052,50.75713987826946,53.96304347826087,16.547619047619047
2020-05-01,1.09073,531359.6589861751,9714.0,348.0,0.1,40.37628455608719,48.077239515950616,57.027,28.5625
2020-06-01,1.1259,537755.1904761905,10446.0,274.0,0.6,36.78113304093568,46.71472057655668,59.878181818181815,38.307272727272725
2020-07-01,1.1488272727272728,531184.059907834,11008.0,255.0,1.0,33.97970086200349,45.327417185503286,57.519047619047626,40.71045454545455
2020-08-01,1.1831142857142856,509239.69585253455,10585.0,250.0,1.3,32.61243686868687,44.28851206284816,50.54263157894737,42.33904761904762
2020-09-01,1.1785095238095238,495578.6666666667,10934.0,257.0,1.4,34.35019660894661,42.853234285070386,29.20772727272728,39.63428571428571
2020-10-01,1.1767809523809525,489510.33640553,10469.0,280.0,1.2,38.15824494949495,41.63930641945773,16.547619047619047,39.39590909090909
2020-11-01,1.1826277777777778,488862.4714285714,11210.0,311.0,1.2,40.22072301967039,40.298503787878786,28.5625,40.93736842105263
2020-12-01,1.2168,497344.12442396313,11179.0,341.0,1.4,41.67367756512494,39.2274053030303,38.307272727272725,47.025
2021-01-01,1.2177666666666669,480997.77880184335,11152.0,374.0,1.4,43.55667198298777,38.76818642249563,40.71045454545455,52.008421052631576
2021-02-01,1.2093947368421052,469597.9030612245,9938.0,397.0,1.7,46.34121667805878,39.47682677337283,42.33904761904762,59.04631578947369
2021-03-01,1.1901608695652173,500033.8847926267,11372.0,408.0,2.6,50.12434297205464,42.237269790500626,39.63428571428571,62.33304347826088
2021-04-01,1.1965409090909092,492745.5047619048,11353.0,436.0,4.2,53.84446923468091,46.00135709208792,39.39590909090909,61.71666666666666
2021-05-01,1.21463,483584.0552995392,11423.0,453.0,5.0,57.88315783117213,49.051940425421265,40.93736842105263,65.1695
